,Composer,Title,Measure,Beat,Pattern,Key,CadType,Tone,CVFs,LeadingTones,Sounding,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
96.0,Morley,Morley_1597_214-215,9,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,4.0,G2,P1,P8,0.23300970873786409,48.0,32.0,,
128.0,Morley,Morley_1597_214-215,11,2.333333333333333,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,4.0,G3,P8,P8,0.3106796116504854,32.0,12.0,,
140.0,Morley,Morley_1597_214-215,12,2.333333333333333,T-1c-2,T-1c-2,,,Tc,,4.0,C3,P4,,0.33980582524271846,12.0,28.0,,
216.0,Morley,Morley_1597_214-215,19,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CTB,1.0,4.0,G2,P1,P8,0.5242718446601942,48.0,72.0,,
288.0,Morley,Morley_1597_214-215,25,1.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,G,zC,1.0,3.0,G3,P8,P8,0.6990291262135923,72.0,12.0,,
300.0,Morley,Morley_1597_214-215,26,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,C,tC,1.0,3.0,C3,P4,P4,0.7281553398058253,12.0,112.0,,
168.0,Morley,Morley_1597_214-215,15,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,D,tC,1.0,4.0,D3,P5,P5,0.4077669902912621,28.0,48.0,,
96.0,Morley,Morley_1597_216-217,13,1.0,BC1,^BC(1|3)x?z?$,Authentic,B-,tCB,1.0,3.0,B-3,m3,m3,0.34782608695652173,64.0,36.0,,
132.0,Morley,Morley_1597_216-217,17,3.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,D,CT,1.0,4.0,D3,-P4,P5,0.4782608695652174,36.0,32.0,,
164.0,Morley,Morley_1597_216-217,21,3.0,BC1,^BC(1|3)x?z?$,Authentic,G,TCBx,1.0,3.0,G3,P1,P8,0.5942028985507246,32.0,16.0,,
180.0,Morley,Morley_1597_216-217,23,3.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,4.0,C3,-P5,,0.6521739130434783,16.0,20.0,,
200.0,Morley,Morley_1597_216-217,26,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,4.0,D3,-P4,P5,0.7246376811594203,20.0,32.0,,
232.0,Morley,Morley_1597_216-217,30,1.0,BC1,^BC(1|3)x?z?$,Authentic,B-,CTB,1.0,4.0,B-2,-M6,m3,0.8405797101449275,32.0,20.0,,
252.0,Morley,Morley_1597_216-217,32,3.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,D,CT,1.0,3.0,D3,-P4,P5,0.9130434782608695,20.0,24.0,,
32.0,Morley,Morley_1597_216-217,5,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,4.0,G3,P1,P8,0.11594202898550725,32.0,64.0,,
276.0,Morley,Morley_1597_216-217,36,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CuTB,1.0,4.0,G3,P1,P8,1.0,24.0,8.0,,
