,Bassus_SecundusTenor,Bassus_PrimusTenor,Bassus_Contratenor,Bassus_Superius,SecundusTenor_PrimusTenor,SecundusTenor_Contratenor,SecundusTenor_Superius,PrimusTenor_Contratenor,PrimusTenor_Superius,Contratenor_Superius
117.0,,,,,,"2_Held, 3_-2, 5_-2, 6_-2, 8",,"-2_-3, 3_Held, 4_3, 3_-2, 4",,
118.0,,,,,"1_-2, 2_-2, 3_-2, 6_3, 3","3_-2, 5_-2, 6_-2, 8_3, 6","8_-2, 9_-2, 10_-2, 11_Held, 9","3_Held, 4_3, 3_-2, 4_Held, 3","8_3, 6_Held, 4_-2, 6_-2, 8","6_2, 5_2, 4_Held, 2_Held, 3"
119.0,,,,,"2_-2, 3_-2, 6_3, 3_Held, 2","5_-2, 6_-2, 8_3, 6_Held, 5","9_-2, 10_-2, 11_Held, 9_3, 8","4_3, 3_-2, 4_Held, 3_-2, 5",,"5_2, 4_Held, 2_Held, 3_-2, 4"
119.5,,,,,"3_-2, 6_3, 3_Held, 2_-2, 3","6_-2, 8_3, 6_Held, 5_Held, 6","10_-2, 11_Held, 9_3, 8_Held, 9",,,
120.0,,,,,,"8_3, 6_Held, 5_Held, 6_-2, 8","11_Held, 9_3, 8_Held, 9_-2, 12","3_-2, 4_Held, 3_-2, 5_Held, 6","6_Held, 4_-2, 6_-2, 8_Held, 10","4_Held, 2_Held, 3_-2, 4_2, 4"
121.0,,,,,,,"9_3, 8_Held, 9_-2, 12_-3, 14",,,"2_Held, 3_-2, 4_2, 4_2, 5"
122.0,,,,,,"6_Held, 5_Held, 6_-2, 8_-3, 10","8_Held, 9_-2, 12_-3, 14_Held, 13",,,"3_-2, 4_2, 4_2, 5_Held, 4"
123.0,,,,,,"5_Held, 6_-2, 8_-3, 10_2, 8",,,,"4_2, 4_2, 5_Held, 4_-2, 5"
124.0,,,,,,"6_-2, 8_-3, 10_2, 8_Held, 7","9_-2, 12_-3, 14_Held, 13_2, 12",,,"4_2, 5_Held, 4_-2, 5_-2, 6"
126.0,"-3_Held, -5_-3, -3_2, -3_2, -3",,"6_-3, 8_2, 6_Held, 5_2, 3","10_-3, 11_2, 10_2, 9_Held, 8",,"8_-3, 10_2, 8_Held, 7_2, 5","12_-3, 14_Held, 13_2, 12_2, 11",,,"5_Held, 4_-2, 5_-2, 6_-2, 7"
128.0,"-5_-3, -3_2, -3_2, -3_Held, -2",,,,,"10_2, 8_Held, 7_2, 5_2, 4","14_Held, 13_2, 12_2, 11_2, 9",,,
129.0,"-3_2, -3_2, -3_Held, -2_Held, 1",,"8_2, 6_Held, 5_2, 3_-2, 5","11_2, 10_2, 9_Held, 8_Held, 8",,,"13_2, 12_2, 11_2, 9_2, 8",,,"4_-2, 5_-2, 6_-2, 7_Held, 6"
130.0,"-3_2, -3_Held, -2_Held, 1_-2, 3",,"6_Held, 5_2, 3_-2, 5_-2, 6","10_2, 9_Held, 8_Held, 8_-2, 9",,"8_Held, 7_2, 5_2, 4_2, 3","12_2, 11_2, 9_2, 8_2, 7",,,"5_-2, 6_-2, 7_Held, 6_Held, 6"
131.0,,,"5_2, 3_-2, 5_-2, 6_-2, 8",,,"7_2, 5_2, 4_2, 3_2, 3",,,,"6_-2, 7_Held, 6_Held, 6_2, 5"
132.0,"-3_Held, -2_Held, 1_-2, 3_-2, 4",,,"9_Held, 8_Held, 8_-2, 9_-2, 10",,"5_2, 4_2, 3_2, 3_2, 3","11_2, 9_2, 8_2, 7_2, 6",,,"7_Held, 6_Held, 6_2, 5_2, 4"
