,Bassus_SecundusTenor,Bassus_PrimusTenor,Bassus_Contratenor,Bassus_Superius,SecundusTenor_PrimusTenor,SecundusTenor_Contratenor,SecundusTenor_Superius,PrimusTenor_Contratenor,PrimusTenor_Superius,Contratenor_Superius
535.0,,,,,"-4_-3, -3_3, -5_2, -6_1, -6","-2_-3, 3_3, -5_2, -3_1, -3","3_-3, 6_3, 4_2, 3_1, 3","3_-2, 5_Held, 1_Held, 4_Held, 4",,"4_2, 4_-5, 8_4, 5_1, 5"
536.0,,,,,"-3_3, -5_2, -6_1, -6_-2, -5","3_3, -5_2, -3_1, -3_-2, -3","6_3, 4_2, 3_1, 3_-2, 4","5_Held, 1_Held, 4_Held, 4_1, 3",,"4_-5, 8_4, 5_1, 5_-2, 6"
538.0,,,,,"-5_2, -6_1, -6_-2, -5_2, -6","-5_2, -3_1, -3_-2, -3_Held, -5","4_2, 3_1, 3_-2, 4_2, 3","1_Held, 4_Held, 4_1, 3_Held, 1",,"8_4, 5_1, 5_-2, 6_-3, 8"
540.0,"10_Held, 10_5, 5_1, 5_-3, 8","5_5, 1_1, 1_-3, 3_-3, 5","8_Held, 8_5, 3_Held, 1_1, 2","12_5, 8_1, 8_-3, 10_-3, 12","-6_1, -6_-2, -5_2, -6_Held, -6","-3_1, -3_-2, -3_Held, -5_Held, -4","3_1, 3_-2, 4_2, 3_Held, 3","4_Held, 4_1, 3_Held, 1_Held, 2",,"5_1, 5_-2, 6_-3, 8_2, 7"
543.0,"10_5, 5_1, 5_-3, 8_-3, 10",,"8_5, 3_Held, 1_1, 2_-3, 5",,"-6_-2, -5_2, -6_Held, -6_-2, -5","-3_-2, -3_Held, -5_Held, -4_2, -4","3_-2, 4_2, 3_Held, 3_-2, 4","4_1, 3_Held, 1_Held, 2_Held, 3",,"5_-2, 6_-3, 8_2, 7_2, 6"
544.0,"5_1, 5_-3, 8_-3, 10_2, 9","1_1, 1_-3, 3_-3, 5_2, 4","3_Held, 1_1, 2_-3, 5_Held, 3","8_1, 8_-3, 10_-3, 12_2, 11","-5_2, -6_Held, -6_-2, -5_-2, -4","-3_Held, -5_Held, -4_2, -4_Held, -6","4_2, 3_Held, 3_-2, 4_-2, 5","3_Held, 1_Held, 2_Held, 3_Held, 1",,"6_-3, 8_2, 7_2, 6_-3, 8"
546.0,,,"1_1, 2_-3, 5_Held, 3_-3, 8",,,"-5_Held, -4_2, -4_Held, -6_Held, -3",,"1_Held, 2_Held, 3_Held, 1_Held, 4",,"8_2, 7_2, 6_-3, 8_4, 5"
547.0,"5_-3, 8_-3, 10_2, 9_2, 8","1_-3, 3_-3, 5_2, 4_2, 3","2_-3, 5_Held, 3_-3, 8_2, 7","8_-3, 10_-3, 12_2, 11_2, 10",,"-4_2, -4_Held, -6_Held, -3_-2, -3",,"2_Held, 3_Held, 1_Held, 4_1, 4",,"7_2, 6_-3, 8_4, 5_Held, 5"
548.0,"8_-3, 10_2, 9_2, 8_2, 7","3_-3, 5_2, 4_2, 3_2, 2","5_Held, 3_-3, 8_2, 7_2, 6","10_-3, 12_2, 11_2, 10_2, 9","-6_Held, -6_-2, -5_-2, -4_-2, -3","-4_Held, -6_Held, -3_-2, -3_-2, 3","3_Held, 3_-2, 4_-2, 5_-2, 6","3_Held, 1_Held, 4_1, 4_Held, 3",,"6_-3, 8_4, 5_Held, 5_-2, 6"
549.0,,,"3_-3, 8_2, 7_2, 6_2, 5",,,"-6_Held, -3_-2, -3_-2, 3_Held, 3",,"1_Held, 4_1, 4_Held, 3_Held, 6",,"8_4, 5_Held, 5_-2, 6_4, 3"
550.0,"10_2, 9_2, 8_2, 7_2, 5","5_2, 4_2, 3_2, 2_2, 1","8_2, 7_2, 6_2, 5_2, 3","12_2, 11_2, 10_2, 9_2, 8",,"-3_-2, -3_-2, 3_Held, 3_-2, 3",,"4_1, 4_Held, 3_Held, 6_Held, 6",,"5_Held, 5_-2, 6_4, 3_1, 3"
551.0,"9_2, 8_2, 7_2, 5_-3, 6","4_2, 3_2, 2_2, 1_-3, 3","7_2, 6_2, 5_2, 3_-3, 8","11_2, 10_2, 9_2, 8_-3, 10",,,,,,
552.0,"8_2, 7_2, 5_-3, 6_-3, 8","3_2, 2_2, 1_-3, 3_-3, 5","6_2, 5_2, 3_-3, 8_-3, 10","10_2, 9_2, 8_-3, 10_-3, 12",,,,"4_Held, 3_Held, 6_Held, 6_Held, 5",,"5_-2, 6_4, 3_1, 3_-2, 4"
553.0,"7_2, 5_-3, 6_-3, 8_5, 3","2_2, 1_-3, 3_-3, 5_5, 1","5_2, 3_-3, 8_-3, 10_5, 5","9_2, 8_-3, 10_-3, 12_5, 8",,,,,,
606.0,,,,,,,,,,"3_Held, 2_3, -3_Held, 3_-2, 3"
607.0,,,,,,,,,,"2_3, -3_Held, 3_-2, 3_-2, 3"
608.0,,,,,,,,,,"-3_Held, 3_-2, 3_-2, 3_Held, 2"
610.0,,,,,,,,,,"3_-2, 3_-2, 3_Held, 2_-2, 3"
612.0,,,,,,,,,,"3_-2, 3_Held, 2_-2, 3_-2, 4"
614.0,,,,,,,,,,"3_Held, 2_-2, 3_-2, 4_2, 6"
616.0,,,,,,"4_Held, 3_Held, 2_Held, 3_Held, 4","5_Held, 8_Held, 10_1, 10_-2, 10",,,"2_-2, 3_-2, 4_2, 6_2, 5"
617.0,,,,,,"3_Held, 2_Held, 3_Held, 4_Held, 5",,,,"3_-2, 4_2, 6_2, 5_2, 6"
617.5,,,,,,"2_Held, 3_Held, 4_Held, 5_Held, 6",,,,"4_2, 6_2, 5_2, 6_2, 5"
618.0,,,,,,"3_Held, 4_Held, 5_Held, 6_1, 5","8_Held, 10_1, 10_-2, 10_2, 8",,,"6_2, 5_2, 6_2, 5_-2, 6"
619.0,,,,,,"4_Held, 5_Held, 6_1, 5_-2, 6",,,,"5_2, 6_2, 5_-2, 6_Held, 5"
620.0,,,,,,"5_Held, 6_1, 5_-2, 6_Held, 5","10_1, 10_-2, 10_2, 8_Held, 7",,,"6_2, 5_-2, 6_Held, 5_-2, 6"
621.0,,,,,,"6_1, 5_-2, 6_Held, 5_Held, 5",,,,"5_-2, 6_Held, 5_-2, 6_1, 6"
622.0,,,,,,"5_-2, 6_Held, 5_Held, 5_2, 4","10_-2, 10_2, 8_Held, 7_Held, 6",,,"6_Held, 5_-2, 6_1, 6_Held, 5"
624.0,,,,,,"6_Held, 5_Held, 5_2, 4_Held, 3","10_2, 8_Held, 7_Held, 6_Held, 5",,,"5_-2, 6_1, 6_Held, 5_-2, 6"
625.0,,,,,,"5_Held, 5_2, 4_Held, 3_Held, 4",,,,"6_1, 6_Held, 5_-2, 6_Held, 5"
626.0,,,,,,"5_2, 4_Held, 3_Held, 4_Held, 4",,,,"6_Held, 5_-2, 6_Held, 5_2, 3"
628.0,,,,,,,"8_Held, 7_Held, 6_Held, 5_Held, 6",,,"5_-2, 6_Held, 5_2, 3_Held, 2"
630.0,,,,,,,,,,"6_Held, 5_2, 3_Held, 2_1, 3"
631.0,,,,,,,,,,"5_2, 3_Held, 2_1, 3_3, -3"
632.0,,,"8_Held, 8_Held, 10_1, 10_-2, 10","10_Held, 9_Held, 10_Held, 8_1, 12",,,,,,"3_Held, 2_1, 3_3, -3_Held, 3"
633.0,,,,"9_Held, 10_Held, 8_1, 12_-2, 13",,,,,,"2_1, 3_3, -3_Held, 3_-2, 4"
634.0,,,"8_Held, 10_1, 10_-2, 10_2, 8","10_Held, 8_1, 12_-2, 13_Held, 12",,,,,,"3_3, -3_Held, 3_-2, 4_Held, 3"
636.0,,,"10_1, 10_-2, 10_2, 8_Held, 7","8_1, 12_-2, 13_Held, 12_Held, 12",,,,,,"-3_Held, 3_-2, 4_Held, 3_Held, 3"
638.0,,,"10_-2, 10_2, 8_Held, 7_Held, 6","12_-2, 13_Held, 12_Held, 12_2, 11",,"6_3, 3_-2, 3_-2, 4_Held, 3","8_3, 6_Held, 5_Held, 5_-2, 6",,,"3_-2, 4_Held, 3_Held, 3_-2, 4"
640.0,,,,"13_Held, 12_Held, 12_2, 11_Held, 10",,"3_-2, 3_-2, 4_Held, 3_Held, 2","6_Held, 5_Held, 5_-2, 6_-2, 6",,,"4_Held, 3_Held, 3_-2, 4_Held, 3"
641.0,,,,,,,"5_Held, 5_-2, 6_-2, 6_Held, 5",,,"3_Held, 3_-2, 4_Held, 3_-2, 4"
642.0,,,,,,,"5_-2, 6_-2, 6_Held, 5_-2, 6",,,"3_-2, 4_Held, 3_-2, 4_-2, 5"
644.0,,,,,,"3_-2, 4_Held, 3_Held, 2_Held, 3","6_-2, 6_Held, 5_-2, 6_-2, 8",,,"4_Held, 3_-2, 4_-2, 5_2, 3"
646.0,,,,,,"4_Held, 3_Held, 2_Held, 3_-2, 4","6_Held, 5_-2, 6_-2, 8_-2, 9",,,"3_-2, 4_-2, 5_2, 3_2, 3"
647.0,,,,,,"3_Held, 2_Held, 3_-2, 4_-2, 6",,,,"4_-2, 5_2, 3_2, 3_-4, 6"
647.5,,,,,,"2_Held, 3_-2, 4_-2, 6_-2, 7",,,,"5_2, 3_2, 3_-4, 6_Held, 4"
648.0,,,,,"1_-2, 2_-2, 3_-2, 4_-2, 5","3_-2, 4_-2, 6_-2, 7_-2, 5","5_-2, 6_-2, 8_-2, 9_-2, 10",,,
649.0,,,,,"2_-2, 3_-2, 4_-2, 5_5, 1","4_-2, 6_-2, 7_-2, 5_5, 1","6_-2, 8_-2, 9_-2, 10_5, 4",,,
650.0,"3_Held, 2_3, -3_Held, 3_-2, 6","5_3, 3_Held, 3_-2, 3_-2, 4",,"10_3, 8_Held, 6_-2, 8_-2, 9","3_-2, 4_-2, 5_5, 1_3, -4",,"8_-2, 9_-2, 10_5, 4_3, 3",,,
651.0,"2_3, -3_Held, 3_-2, 6_Held, 5",,,,"4_-2, 5_5, 1_3, -4_-2, -3",,"9_-2, 10_5, 4_3, 3_-2, 4",,,
652.0,"-3_Held, 3_-2, 6_Held, 5_-2, 6","3_Held, 3_-2, 3_-2, 4_-2, 6",,,"5_5, 1_3, -4_-2, -3_-2, 1",,,,,
654.0,"3_-2, 6_Held, 5_-2, 6_-2, 6","3_-2, 3_-2, 4_-2, 6_2, 5",,,"1_3, -4_-2, -3_-2, 1_-2, 2",,,,,
656.0,"6_Held, 5_-2, 6_-2, 6_2, 5",,,,"-4_-2, -3_-2, 1_-2, 2_-2, 3",,,,,
658.0,"5_-2, 6_-2, 6_2, 5_Held, 4",,"8_-2, 9_-2, 10_2, 8_-4, 12",,,"4_-2, 5_Held, 4_-2, 5_-2, 6",,,,
659.0,"6_-2, 6_2, 5_Held, 4_Held, 3",,"9_-2, 10_2, 8_-4, 12_2, 11",,,,,,,
660.0,"6_2, 5_Held, 4_Held, 3_-4, 5",,"10_2, 8_-4, 12_2, 11_2, 10",,,"5_Held, 4_-2, 5_-2, 6_-2, 8",,,,
662.0,"5_Held, 4_Held, 3_-4, 5_2, 3",,"8_-4, 12_2, 11_2, 10_2, 9","12_-4, 17_2, 16_2, 15_2, 13",,"4_-2, 5_-2, 6_-2, 8_-2, 9","8_-2, 9_-2, 10_-2, 13_-2, 14",,,"5_2, 6_Held, 5_Held, 4_Held, 3"
663.0,"4_Held, 3_-4, 5_2, 3_2, 3",,,,,"5_-2, 6_-2, 8_-2, 9_2, 8","9_-2, 10_-2, 13_-2, 14_2, 13",,,
663.5,"3_-4, 5_2, 3_2, 3_2, 3",,,,,"6_-2, 8_-2, 9_2, 8_2, 7","10_-2, 13_-2, 14_2, 13_2, 11",,,
664.0,"5_2, 3_2, 3_2, 3_2, 3",,"12_2, 11_2, 10_2, 9_2, 8","17_2, 16_2, 15_2, 13_Held, 12",,"8_-2, 9_2, 8_2, 7_2, 6","13_-2, 14_2, 13_2, 11_Held, 10",,,"6_Held, 5_Held, 4_Held, 3_1, 4"
665.0,"3_2, 3_2, 3_2, 3_-3, 3",,"11_2, 10_2, 9_2, 8_-3, 10","16_2, 15_2, 13_Held, 12_2, 10",,"9_2, 8_2, 7_2, 6_-3, 8","14_2, 13_2, 11_Held, 10_2, 8",,,
666.0,"3_2, 3_2, 3_-3, 3_2, 3","6_2, 5_2, 6_-3, 8_2, 6","10_2, 9_2, 8_-3, 10_2, 8","15_2, 13_Held, 12_2, 10_-3, 13","4_2, 3_2, 4_-3, 6_2, 4","8_2, 7_2, 6_-3, 8_2, 6","13_2, 11_Held, 10_2, 8_-3, 11","5_3, 3_Held, 3_-2, 3_Held, 1","10_Held, 9_Held, 8_3, 5_Held, 6",
667.0,"3_2, 3_-3, 3_2, 3_2, 3","5_2, 6_-3, 8_2, 6_2, 5","9_2, 8_-3, 10_2, 8_2, 5","13_Held, 12_2, 10_-3, 13_2, 12","3_2, 4_-3, 6_2, 4_2, 3","7_2, 6_-3, 8_2, 6_2, 3","11_Held, 10_2, 8_-3, 11_2, 10",,"9_Held, 8_3, 5_Held, 6_-2, 7","5_Held, 4_Held, 3_1, 4_-2, 5"
667.5,,,,"12_2, 10_-3, 13_2, 12_2, 10",,,"10_2, 8_-3, 11_2, 10_2, 8",,"8_3, 5_Held, 6_-2, 7_Held, 6","4_Held, 3_1, 4_-2, 5_-3, 6"
668.0,"3_-3, 3_2, 3_2, 3_-5, 5","6_-3, 8_2, 6_2, 5_-5, 8","8_-3, 10_2, 8_2, 5_-5, 10","10_-3, 13_2, 12_2, 10_-5, 15","4_-3, 6_2, 4_2, 3_-3, 4","6_-3, 8_2, 6_2, 3_-3, 6","8_-3, 11_2, 10_2, 8_-3, 11","3_Held, 3_-2, 3_Held, 1_-2, 3","5_Held, 6_-2, 7_Held, 6_-2, 8","3_1, 4_-2, 5_-3, 6_2, 6"
670.0,"3_2, 3_2, 3_-5, 5_Held, 10","8_2, 6_2, 5_-5, 8_2, 6","10_2, 8_2, 5_-5, 10_2, 9","13_2, 12_2, 10_-5, 15_2, 14","6_2, 4_2, 3_-3, 4_6, -3","8_2, 6_2, 3_-3, 6_6, 1","11_2, 10_2, 8_-3, 11_6, 6","3_-2, 3_Held, 1_-2, 3_-2, 4","6_-2, 7_Held, 6_-2, 8_-2, 9",
672.0,"3_2, 3_-5, 5_Held, 10_2, 9","6_2, 5_-5, 8_2, 6_Held, 5",,,"4_2, 3_-3, 4_6, -3_Held, -4",,,"3_Held, 1_-2, 3_-2, 4_-2, 5","7_Held, 6_-2, 8_-2, 9_-2, 10",
674.0,"3_-5, 5_Held, 10_2, 9_2, 8","5_-5, 8_2, 6_Held, 5_2, 3",,,"3_-3, 4_6, -3_Held, -4_Held, -5",,,,,
676.0,"5_Held, 10_2, 9_2, 8_2, 7","8_2, 6_Held, 5_2, 3_2, 3",,,"4_6, -3_Held, -4_Held, -5_Held, -6",,,,,
678.0,"10_2, 9_2, 8_2, 7_2, 5",,,,"-3_Held, -4_Held, -5_Held, -6_Held, -5",,,,,
679.0,"9_2, 8_2, 7_2, 5_-5, 8","6_Held, 5_2, 3_2, 3_2, 3",,,"-4_Held, -5_Held, -6_Held, -5_-2, -3",,,,,
679.5,,"5_2, 3_2, 3_2, 3_Held, 1",,,"-5_Held, -6_Held, -5_-2, -3_Held, -5",,,,,
680.0,"8_2, 7_2, 5_-5, 8_8, 1","3_2, 3_2, 3_Held, 1_-5, 6",,,"-6_Held, -5_-2, -3_Held, -5_-2, -3",,,,,
681.0,"7_2, 5_-5, 8_8, 1_Held, 2","3_2, 3_Held, 1_-5, 6_8, -3",,,"-5_-2, -3_Held, -5_-2, -3_2, -4",,,,,
682.0,"5_-5, 8_8, 1_Held, 2_Held, 3","3_Held, 1_-5, 6_8, -3_Held, -4","8_-5, 10_8, 4_Held, 5_-3, 7",,"-3_Held, -5_-2, -3_2, -4_2, -6","4_-2, 3_Held, 4_2, 3_2, 3",,"6_-3, 8_2, 5_Held, 6_-2, 8",,
683.0,,"1_-5, 6_8, -3_Held, -4_-3, -2",,,"-5_-2, -3_2, -4_2, -6_-3, -4",,,"8_2, 5_Held, 6_-2, 8_-2, 9",,
684.0,"8_8, 1_Held, 2_Held, 3_-3, 3","6_8, -3_Held, -4_-3, -2_2, -3","10_8, 4_Held, 5_-3, 7_2, 6",,"-3_2, -4_2, -6_-3, -4_2, -5","3_Held, 4_2, 3_2, 3_-3, 5",,"5_Held, 6_-2, 8_-2, 9_-2, 10",,
686.0,"1_Held, 2_Held, 3_-3, 3_2, 3","-3_Held, -4_-3, -2_2, -3_Held, -4","4_Held, 5_-3, 7_2, 6_2, 5",,,"4_2, 3_2, 3_-3, 5_2, 4",,"6_-2, 8_-2, 9_-2, 10_2, 10",,
687.0,"2_Held, 3_-3, 3_2, 3_2, 1",,,,"-4_2, -6_-3, -4_2, -5_Held, -6","3_2, 3_-3, 5_2, 4_-2, 5",,,,
688.0,"3_-3, 3_2, 3_2, 1_-2, 2","-4_-3, -2_2, -3_Held, -4_2, -6","5_-3, 7_2, 6_2, 5_-2, 6",,"-6_-3, -4_2, -5_Held, -6_-2, -6","3_-3, 5_2, 4_-2, 5_Held, 6",,"8_-2, 9_-2, 10_2, 10_5, 6",,
689.0,"3_2, 3_2, 1_-2, 2_-2, 3","-2_2, -3_Held, -4_2, -6_-2, -5","7_2, 6_2, 5_-2, 6_-2, 8",,"-4_2, -5_Held, -6_-2, -6_Held, -5",,,,,
690.0,"3_2, 1_-2, 2_-2, 3_-2, 4","-3_Held, -4_2, -6_-2, -5_-2, -3","6_2, 5_-2, 6_-2, 8_-2, 9",,,,,,,
691.0,,"-4_2, -6_-2, -5_-2, -3_-2, -2",,,,,,"9_-2, 10_2, 10_5, 6_Held, 5",,
692.0,,"-6_-2, -5_-2, -3_-2, -2_-2, 5","5_-2, 6_-2, 8_-2, 9_-2, 10",,,,,,,
693.0,,"-5_-2, -3_-2, -2_-2, 5_-2, 6","6_-2, 8_-2, 9_-2, 10_-2, 10",,,,,,,
694.0,,,"8_-2, 9_-2, 10_-2, 10_2, 8",,,,,,,
695.0,,,"9_-2, 10_-2, 10_2, 8_-3, 10",,,,,,,
696.0,,,"10_-2, 10_2, 8_-3, 10_-2, 10",,,,,,,
698.0,,,"10_2, 8_-3, 10_-2, 10_Held, 9",,,"5_-3, 6_2, 5_2, 3_Held, 2",,,,
700.0,,,"8_-3, 10_-2, 10_Held, 9_Held, 10",,,"6_2, 5_2, 3_Held, 2_Held, 3",,,,
702.0,,,,,"-4_2, -4_Held, -3_2, -6_Held, -3","5_2, 3_Held, 2_Held, 3_2, 3",,"8_2, 6_2, 5_Held, 4_Held, 5",,
704.0,,,,,"-4_Held, -3_2, -6_Held, -3_Held, -4","3_Held, 2_Held, 3_2, 3_Held, 3","8_2, 5_Held, 6_Held, 7_-2, 8","6_2, 5_Held, 4_Held, 5_-3, 8","11_2, 10_-3, 10_4, 8_Held, 9","6_-2, 7_2, 6_2, 3_Held, 4"
706.0,,,,,"-3_2, -6_Held, -3_Held, -4_Held, -5",,,"5_Held, 4_Held, 5_-3, 8_4, 5","10_-3, 10_4, 8_Held, 9_-2, 10",
707.0,,,,,,"2_Held, 3_2, 3_Held, 3_-2, 4",,"4_Held, 5_-3, 8_4, 5_Held, 5",,"7_2, 6_2, 3_Held, 4_1, 5"
707.5,,,,,,"3_2, 3_Held, 3_-2, 4_-2, 5",,"5_-3, 8_4, 5_Held, 5_-2, 6",,"6_2, 3_Held, 4_1, 5_Held, 6"
708.0,,,,,"-6_Held, -3_Held, -4_Held, -5_-2, -3","3_Held, 3_-2, 4_-2, 5_-2, 6","5_Held, 6_Held, 7_-2, 8_-2, 10","8_4, 5_Held, 5_-2, 6_-2, 7","10_4, 8_Held, 9_-2, 10_-2, 11","3_Held, 4_1, 5_Held, 6_Held, 5"
710.0,"10_5, 6_Held, 5_-3, 6_-3, 8","8_5, 4_Held, 3_Held, 2_Held, 3","12_5, 8_-3, 10_-3, 12_5, 8","15_5, 12_-3, 15_-3, 17_5, 13","-3_Held, -4_Held, -5_-2, -3_-2, -4",,"6_Held, 7_-2, 8_-2, 10_-2, 11","5_Held, 5_-2, 6_-2, 7_2, 6","8_Held, 9_-2, 10_-2, 11_2, 10",
712.0,"6_Held, 5_-3, 6_-3, 8_5, 3","4_Held, 3_Held, 2_Held, 3_-3, 3",,"12_-3, 15_-3, 17_5, 13_Held, 12",,,"7_-2, 8_-2, 10_-2, 11_Held, 10","5_-2, 6_-2, 7_2, 6_-3, 8","9_-2, 10_-2, 11_2, 10_-3, 13",
713.0,,"3_Held, 2_Held, 3_-3, 3_-3, 5",,,,,,,,
722.0,,,,,,,,,"8_3, 5_-2, 6_Held, 5_2, 3",
724.0,,,,,,,,,"5_-2, 6_Held, 5_2, 3_-2, 7",
726.0,,"5_-3, 8_2, 6_Held, 5_2, 5",,"10_Held, 9_-3, 10_2, 12_2, 11",,,,,"6_Held, 5_2, 3_-2, 7_-2, 8",
727.0,,,,"9_-3, 10_2, 12_2, 11_Held, 10",,,,,"5_2, 3_-2, 7_-2, 8_2, 7",
728.0,,"8_2, 6_Held, 5_2, 5_2, 3",,"10_2, 12_2, 11_Held, 10_Held, 9",,,,,"3_-2, 7_-2, 8_2, 7_Held, 6",
730.0,,"6_Held, 5_2, 5_2, 3_Held, 3",,"12_2, 11_Held, 10_Held, 9_Held, 10",,,,,"7_-2, 8_2, 7_Held, 6_Held, 5",
731.0,,"5_2, 5_2, 3_Held, 3_Held, 1",,,,,,,"8_2, 7_Held, 6_Held, 5_Held, 6",
732.0,,"5_2, 3_Held, 3_Held, 1_-2, 3","8_2, 7_Held, 5_Held, 6_-2, 8","11_Held, 10_Held, 9_Held, 10_2, 10",,,,"4_-2, 5_1, 3_-3, 6_2, 6","7_Held, 6_Held, 5_Held, 6_-2, 8","4_Held, 3_Held, 2_Held, 3_Held, 4"
733.0,,,,,,,,,"6_Held, 5_Held, 6_-2, 8_1, 8","3_Held, 2_Held, 3_Held, 4_-3, 6"
736.0,,"3_Held, 3_Held, 1_-2, 3_-2, 5","7_Held, 5_Held, 6_-2, 8_-2, 10",,,,,"5_1, 3_-3, 6_2, 6_2, 6",,
738.0,"3_Held, 4_-2, 6_-2, 3_-2, 5","3_Held, 1_-2, 3_-2, 5_Held, 6","5_Held, 6_-2, 8_-2, 10_-2, 10",,"1_Held, -3_2, -4_2, -4_-5, 3","3_Held, 4_2, 3_2, 3_-5, 8",,"3_-3, 6_2, 6_2, 6_2, 5",,
740.0,,"1_-2, 3_-2, 5_Held, 6_-2, 7","6_-2, 8_-2, 10_-2, 10_Held, 9",,"-3_2, -4_2, -4_-5, 3_Held, 4","4_2, 3_2, 3_-5, 8_2, 6",,"6_2, 6_2, 6_2, 5_Held, 4",,
741.0,"4_-2, 6_-2, 3_-2, 5_Held, 6",,,,"-4_2, -4_-5, 3_Held, 4_2, 3","3_2, 3_-5, 8_2, 6_2, 4",,,,
742.0,,"3_-2, 5_Held, 6_-2, 7_Held, 6","8_-2, 10_-2, 10_Held, 9_Held, 8",,"-4_-5, 3_Held, 4_2, 3_2, 1","3_-5, 8_2, 6_2, 4_Held, 3",,"6_2, 6_2, 5_Held, 4_-2, 4",,
744.0,,,,,"3_Held, 4_2, 3_2, 1_2, -3","8_2, 6_2, 4_Held, 3_2, 3",,"6_2, 5_Held, 4_-2, 4_Held, 3",,
746.0,,,,,"4_2, 3_2, 1_2, -3_-2, -3",,,"5_Held, 4_-2, 4_Held, 3_-2, 5",,
748.0,,,,,"3_2, 1_2, -3_-2, -3_Held, -2","6_2, 4_Held, 3_2, 3_-2, 4",,"4_-2, 4_Held, 3_-2, 5_-2, 6",,
750.0,,,,,"1_2, -3_-2, -3_Held, -2_Held, 1","4_Held, 3_2, 3_-2, 4_Held, 3",,"4_Held, 3_-2, 5_-2, 6_2, 5",,
751.0,,,,,,"3_2, 3_-2, 4_Held, 3_-2, 4",,"3_-2, 5_-2, 6_2, 5_2, 3",,
752.0,,,,,"-3_-2, -3_Held, -2_Held, 1_Held, 2","3_-2, 4_Held, 3_-2, 4_-2, 5",,"5_-2, 6_2, 5_2, 3_2, 2",,
754.0,,,,,"-3_Held, -2_Held, 1_Held, 2_-2, 2","4_Held, 3_-2, 4_-2, 5_-2, 4",,"6_2, 5_2, 3_2, 2_-2, 3",,
755.0,,,,,"-2_Held, 1_Held, 2_-2, 2_-2, 3",,,"5_2, 3_2, 2_-2, 3_Held, 1",,
756.0,,,,,"1_Held, 2_-2, 2_-2, 3_-2, 4","3_-2, 4_-2, 5_-2, 4_2, 3","5_-2, 6_-2, 7_-2, 6_2, 6","3_2, 2_-2, 3_Held, 1_-2, 2","5_2, 4_-2, 5_Held, 3_-2, 5","3_-3, 3_Held, 4_2, 3_2, 3"
757.0,,,,,"2_-2, 2_-2, 3_-2, 4_2, 2",,,"2_-2, 3_Held, 1_-2, 2_-2, 4","4_-2, 5_Held, 3_-2, 5_-2, 6",
758.0,"7_Held, 6_1, 5_4, 3_-2, 5","8_1, 8_4, 4_Held, 3_-2, 3","10_1, 8_4, 5_Held, 6_-2, 8","12_1, 10_4, 8_-2, 10_2, 10","2_-2, 3_-2, 4_2, 2_Held, 1","4_-2, 5_-2, 4_2, 3_Held, 4","6_-2, 7_-2, 6_2, 6_2, 6","3_Held, 1_-2, 2_-2, 4_-2, 6","5_Held, 3_-2, 5_-2, 6_-2, 8",
759.0,"6_1, 5_4, 3_-2, 5_2, 3",,,,"3_-2, 4_2, 2_Held, 1_2, -3","5_-2, 4_2, 3_Held, 4_2, 4","7_-2, 6_2, 6_2, 6_-2, 8",,,
760.0,"5_4, 3_-2, 5_2, 3_Held, 1","8_4, 4_Held, 3_-2, 3_2, 1","8_4, 5_Held, 6_-2, 8_2, 5","10_4, 8_-2, 10_2, 10_Held, 9","4_2, 2_Held, 1_2, -3_-2, -3","4_2, 3_Held, 4_2, 4_-2, 3","6_2, 6_2, 6_-2, 8_-3, 10","1_-2, 2_-2, 4_-2, 6_-2, 5","3_-2, 5_-2, 6_-2, 8_-2, 10","3_Held, 4_2, 3_2, 3_-3, 6"
762.0,"3_-2, 5_2, 3_Held, 1_-5, 5","4_Held, 3_-2, 3_2, 1_Held, 3","5_Held, 6_-2, 8_2, 5_Held, 6","8_-2, 10_2, 10_Held, 9_-5, 12","2_Held, 1_2, -3_-2, -3_-3, 3","3_Held, 4_2, 4_-2, 3_-3, 6","6_2, 6_-2, 8_-3, 10_Held, 9","2_-2, 4_-2, 6_-2, 5_3, 4","5_-2, 6_-2, 8_-2, 10_3, 8","4_2, 3_2, 3_-3, 6_2, 5"
763.0,,"3_-2, 3_2, 1_Held, 3_-5, 8","6_-2, 8_2, 5_Held, 6_-5, 10",,"1_2, -3_-2, -3_-3, 3_Held, 4",,,"4_-2, 6_-2, 5_3, 4_2, 3","6_-2, 8_-2, 10_3, 8_Held, 7","3_2, 3_-3, 6_2, 5_Held, 4"
764.0,,"3_2, 1_Held, 3_-5, 8_2, 5","8_2, 5_Held, 6_-5, 10_2, 8","10_2, 10_Held, 9_-5, 12_2, 11",,,"6_-2, 8_-3, 10_Held, 9_Held, 8","6_-2, 5_3, 4_2, 3_-3, 4","8_-2, 10_3, 8_Held, 7_2, 5","3_-3, 6_2, 5_Held, 4_Held, 3"
766.0,,"1_Held, 3_-5, 8_2, 5_-2, 6","5_Held, 6_-5, 10_2, 8_-2, 9","10_Held, 9_-5, 12_2, 11_Held, 10",,,,,"10_3, 8_Held, 7_2, 5_-3, 7","6_2, 5_Held, 4_Held, 3_-2, 4"
768.0,,"3_-5, 8_2, 5_-2, 6_2, 5","6_-5, 10_2, 8_-2, 9_2, 8",,,,,,"8_Held, 7_2, 5_-3, 7_Held, 6","5_Held, 4_Held, 3_-2, 4_Held, 3"
