,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Parallel_Entries,Parallel_Voice,Count_Non_Overlaps
36,Philippe Verdelot,Ultimi miei sospiri,295.0,"['37/4.5', '41/4.5']",['P-5'],"[295.0, 327.0]","[('-2', '-2', '2', '3')]",[32.0],"['Altus', 'Tenor']",FUGA,2,False,0.0,,1
37,Philippe Verdelot,Ultimi miei sospiri,296.0,"['38/1.0', '42/1.0']",['P-5'],"[296.0, 328.0]","[('-2', '2', '3', '-2')]",[32.0],"['Altus', 'Tenor']",FUGA,2,False,0.0,,1
38,Philippe Verdelot,Ultimi miei sospiri,314.0,"['40/2.0', '44/3.0']",['P4'],"[314.0, 348.0]","[('1', '1', '1', '1'), ('2', '1', '1', '1')]",[34.0],"['Tenor', 'Quintus']",FUGA,2,True,0.0,,1
39,Philippe Verdelot,Ultimi miei sospiri,320.0,"['41/1.0', '44/1.0', '45/3.0']","['m-7', 'M6']","[320.0, 344.0, 356.0]","[('1', '4', '-2', '-2')]","[24.0, 12.0]","['Tenor', 'Bassus', 'Sextus']",FUGA,3,False,0.0,,2
40,Philippe Verdelot,Ultimi miei sospiri,330.0,"['42/2.0', '49/1.0', '49/4.0', '58/2.0']","['M3', 'm6', 'm-6']","[330.0, 384.0, 390.0, 458.0]","[('2', '2', '2', '-2'), ('1', '2', '2', '-2')]","[54.0, 6.0, 68.0]","['Altus', 'Altus', 'Cantus', 'Cantus']",FUGA,4,True,0.0,,3
41,Philippe Verdelot,Ultimi miei sospiri,340.0,"['43/3.0', '44/4.0']",['P4'],"[340.0, 350.0]","[('2', '1', '2', '1'), ('1', '1', '2', '1')]",[10.0],"['Quintus', 'Altus']",FUGA,2,True,0.0,,1
42,Philippe Verdelot,Ultimi miei sospiri,344.0,"['44/1.0', '44/3.0', '45/1.0', '45/2.0']","['P-5', 'P15', 'P-8']","[344.0, 348.0, 352.0, 354.0]","[('4', '-2', '-2', '1'), ('3', '-2', '-2', '1')]","[4.0, 4.0, 2.0]","['Sextus', 'Bassus', 'Cantus', 'Tenor']",FUGA,4,True,0.0,,0
43,Philippe Verdelot,Ultimi miei sospiri,348.0,"['44/3.0', '47/3.0']",['M6'],"[348.0, 372.0]","[('2', '1', '1', '1'), ('3', '1', '1', '1')]",[24.0],"['Quintus', 'Cantus']",FUGA,2,True,0.0,,1
44,Philippe Verdelot,Ultimi miei sospiri,352.0,"['45/1.0', '45/3.0', '45/4.0']","['P-5', 'P8']","[352.0, 356.0, 358.0]","[('-2', '-2', '1', '4')]","[4.0, 2.0]","['Sextus', 'Bassus', 'Tenor']",FUGA,3,False,0.0,,1
45,Philippe Verdelot,Ultimi miei sospiri,354.0,"['45/2.0', '45/4.5']",['M-2'],"[354.0, 359.0]","[('2', '1', '2', '-3'), ('1', '1', '2', '-3')]",[5.0],"['Altus', 'Quintus']",FUGA,2,True,0.0,,0
46,Philippe Verdelot,Ultimi miei sospiri,359.0,"['45/4.5', '46/1.5']",['P8'],"[359.0, 361.0]","[('-2', '1', '4', '-5')]",[2.0],"['Bassus', 'Tenor']",FUGA,2,False,0.0,,0
47,Philippe Verdelot,Ultimi miei sospiri,360.0,"['46/1.0', '48/3.0']",['P-4'],"[360.0, 380.0]","[('-2', '-2', '1', '2'), ('-3', '-2', '1', '2')]",[20.0],"['Cantus', 'Altus']",FUGA,2,True,0.0,,1
