Measure	Beat	Offset	4_3	4_2	4_1	3_2	3_1	2_1	Composer	Title	figures	figures_combined
27	3.0	216.0	5	3	0	6	0	0	Pierre Sandrin	Doulce memoire	530	['530', '538', '053', '853', '844', '835', '825', '385', '375', '853', '852', '835']
27	4.0	218.0	5	3	8	6	4	3	Pierre Sandrin	Doulce memoire	538	['538', '053', '853', '844', '835', '825', '385', '375', '853', '852', '835', '735']
28	1.0	220.0	0	0	0	5	3	3	Pierre Sandrin	Doulce memoire	053	['053', '853', '844', '835', '825', '385', '375', '853', '852', '835', '735', '584']
28	2.0	222.0	8	5	3	5	3	3	Pierre Sandrin	Doulce memoire	853	['853', '844', '835', '825', '385', '375', '853', '852', '835', '735', '584', '583']
28	2.5	223.0	8	4	4	4	4	1	Pierre Sandrin	Doulce memoire	844	['844', '835', '825', '385', '375', '853', '852', '835', '735', '584', '583', '838']
28	3.0	224.0	8	3	5	3	5	3	Pierre Sandrin	Doulce memoire	835	['835', '825', '385', '375', '853', '852', '835', '735', '584', '583', '838', '833']
28	3.5	225.0	8	2	5	2	5	4	Pierre Sandrin	Doulce memoire	825	['825', '385', '375', '853', '852', '835', '735', '584', '583', '838', '833', '823']
28	4.0	226.0	3	8	5	3	3	5	Pierre Sandrin	Doulce memoire	385	['385', '375', '853', '852', '835', '735', '584', '583', '838', '833', '823', '038']
28	4.5	227.0	3	7	5	4	3	6	Pierre Sandrin	Doulce memoire	375	['375', '853', '852', '835', '735', '584', '583', '838', '833', '823', '038', '047']
29	1.0	228.0	8	5	3	4	3	6	Pierre Sandrin	Doulce memoire	853	['853', '852', '835', '735', '584', '583', '838', '833', '823', '038', '047', '583']
29	1.5	229.0	8	5	2	4	2	5	Pierre Sandrin	Doulce memoire	852	['852', '835', '735', '584', '583', '838', '833', '823', '038', '047', '583', '472']
29	2.0	230.0	8	3	5	3	5	3	Pierre Sandrin	Doulce memoire	835	['835', '735', '584', '583', '838', '833', '823', '038', '047', '583', '472', '388']
29	2.5	231.0	7	3	5	4	6	3	Pierre Sandrin	Doulce memoire	735	['735', '584', '583', '838', '833', '823', '038', '047', '583', '472', '388', '287']
29	3.0	232.0	5	8	4	4	7	4	Pierre Sandrin	Doulce memoire	584	['584', '583', '838', '833', '823', '038', '047', '583', '472', '388', '287', '386']
29	4.0	234.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '838', '833', '823', '038', '047', '583', '472', '388', '287', '386', '385']
30	1.0	236.0	8	3	8	3	8	6	Pierre Sandrin	Doulce memoire	838	['838', '833', '823', '038', '047', '583', '472', '388', '287', '386', '385', '853']
30	2.0	238.0	8	3	3	3	3	8	Pierre Sandrin	Doulce memoire	833	['833', '823', '038', '047', '583', '472', '388', '287', '386', '385', '853', '852']
30	2.5	239.0	8	2	3	2	3	2	Pierre Sandrin	Doulce memoire	823	['823', '038', '047', '583', '472', '388', '287', '386', '385', '853', '852', '835']
