Measure	Beat	Offset	figures
6	3.0	44.0	358
6	3.5	45.0	462
6	4.0	46.0	583
6	4.5	47.0	624
7	1.0	48.0	835
7	2.0	50.0	583
7	3.0	52.0	835
7	3.5	53.0	735
7	4.0	54.0	583
8	1.0	56.0	035
8	2.0	58.0	835
8	3.0	60.0	583
8	4.0	62.0	835
8	4.5	63.0	724
9	1.0	64.0	583
9	2.0	66.0	835
9	3.0	68.0	458
9	4.0	70.0	358
10	1.0	72.0	058
10	2.0	74.0	835
10	3.0	76.0	583
10	3.5	77.0	582
10	4.0	78.0	358
10	4.5	79.0	247
11	1.0	80.0	035
11	2.0	82.0	346
11	2.5	83.0	336
11	3.0	84.0	458
11	4.0	86.0	358
12	1.0	88.0	835
12	3.0	92.0	583
13	3.0	100.0	358
13	3.5	101.0	362
13	4.0	102.0	383
13	4.5	103.0	324
14	1.0	104.0	533
14	1.5	105.0	523
14	2.0	106.0	368
14	3.0	108.0	373
14	4.0	110.0	363
15	1.0	112.0	583
15	2.5	115.0	624
15	3.0	116.0	035
15	4.0	118.0	853
16	1.0	120.0	038
16	2.0	122.0	053
16	3.0	124.0	032
16	3.5	125.0	038
17	1.0	128.0	054
17	1.5	129.0	053
17	3.0	132.0	584
17	3.5	133.0	583
18	1.0	136.0	358
18	2.0	138.0	583
18	3.0	140.0	358
19	1.0	144.0	584
19	2.0	146.0	583
19	2.5	147.0	482
19	3.0	148.0	583
20	1.0	152.0	158
21	1.0	168.0	580
21	3.0	172.0	535
21	4.0	174.0	835
22	1.0	176.0	458
22	2.0	178.0	358
22	2.5	179.0	258
22	3.0	180.0	583
22	4.0	182.0	683
23	1.0	184.0	578
23	1.5	185.0	478
23	2.0	186.0	468
23	3.0	188.0	458
23	4.0	190.0	358
24	1.0	192.0	835
25	1.0	200.0	503
25	3.0	204.0	583
26	3.0	212.0	835
26	3.5	213.0	724
26	4.0	214.0	683
26	4.5	215.0	572
27	1.0	216.0	358
27	2.0	218.0	583
27	3.0	220.0	636
27	4.0	222.0	853
28	1.0	224.0	385
28	2.0	226.0	684
28	3.0	228.0	584
28	4.0	230.0	583
29	1.0	232.0	858
29	2.0	234.0	135
29	2.5	235.0	235
29	3.0	236.0	583
29	3.5	237.0	383
29	4.0	238.0	835
30	1.0	240.0	458
30	2.0	242.0	358
30	3.0	244.0	835
30	4.0	246.0	386
31	1.0	248.0	375
31	1.5	249.0	365
31	1.75	249.5	355
31	2.0	250.0	364
31	2.5	251.0	363
31	3.0	252.0	583
31	4.0	254.0	385
32	1.0	256.0	053
32	2.0	258.0	385
32	3.0	260.0	837
32	3.5	261.0	836
32	4.0	262.0	358
33	1.0	264.0	584
33	2.0	266.0	583
33	2.5	267.0	573
33	3.0	268.0	838
33	3.5	269.0	828
33	4.0	270.0	838
34	1.0	272.0	583
34	3.0	276.0	358
35	1.0	280.0	583
35	2.5	283.0	582
35	3.0	284.0	358
35	4.0	286.0	363
36	1.0	288.0	573
36	1.5	289.0	563
36	2.0	290.0	883
36	3.0	292.0	373
36	4.0	294.0	363
37	1.0	296.0	583
37	3.0	300.0	353
37	3.5	301.0	352
37	4.0	302.0	358
38	1.0	304.0	836
38	1.5	305.0	835
38	2.0	306.0	735
38	3.0	308.0	635
38	4.0	310.0	583
38	4.5	311.0	573
39	1.0	312.0	853
39	1.5	313.0	833
39	2.0	314.0	358
39	3.0	316.0	584
39	3.5	317.0	583
39	4.0	318.0	835
40	1.0	320.0	584
40	1.5	321.0	583
40	2.0	322.0	835
40	3.0	324.0	584
40	3.5	325.0	583
41	1.0	328.0	838
41	2.0	330.0	358
41	3.0	332.0	583
41	4.0	334.0	835
42	1.0	336.0	583
42	2.0	338.0	835
42	3.0	340.0	583
43	1.0	344.0	835
44	1.0	360.0	585
44	2.5	363.0	685
44	3.0	364.0	358
44	4.0	366.0	835
45	1.0	368.0	458
45	2.0	370.0	358
45	3.0	372.0	883
45	4.0	374.0	533
46	1.0	376.0	358
46	2.0	378.0	583
46	3.0	380.0	873
46	4.0	382.0	863
47	1.0	384.0	583
47	3.0	388.0	853
48	1.0	392.0	538
48	1.5	393.0	532
48	2.0	394.0	533
48	2.5	395.0	534
48	3.0	396.0	835
48	4.0	398.0	247
48	4.5	399.0	358
49	1.0	400.0	584
49	2.0	402.0	583
49	3.0	404.0	838
49	4.0	406.0	835
50	2.0	410.0	836
50	3.0	412.0	358
51	2.0	418.0	836
51	3.0	420.0	583
51	4.0	422.0	835
52	1.0	424.0	584
52	2.0	426.0	583
52	3.0	428.0	353
52	4.0	430.0	583
53	2.0	434.0	835
53	3.0	436.0	583
53	4.0	438.0	835
54	1.0	440.0	353
54	2.0	442.0	363
54	3.0	444.0	583
54	4.0	446.0	313
54	4.5	447.0	323
55	1.0	448.0	133
55	2.0	450.0	353
55	3.0	452.0	584
55	3.5	453.0	583
55	4.0	454.0	835
56	1.0	456.0	584
56	2.0	458.0	583
56	3.0	460.0	358
56	4.5	463.0	357
56	4.75	463.5	356
57	1.0	464.0	035
57	2.0	466.0	583
