,piece_title,pattern_matched,predicted_type,voice_list,measure_beat_list,time_intervals,entry_intervals,start_offset
71,Quo abiit dilectus tuus,"(1, 3, -2, -3)",Fuga,"['Contratenor', 'Superior', 'Bassus', 'Tenor', 'Superior']","['111/1.0', '112/1.0', '114/3.0', '116/3.0', '119/3.0']",[ 8. 20. 16. 24.],"['P5', 'P-11', 'P4', 'P5']",888.0
72,Quo abiit dilectus tuus,"(3, -2, -3, 2)",Fuga,"['Contratenor', 'Superior', 'Bassus', 'Tenor', 'Superior']","['111/2.0', '112/2.0', '114/4.0', '116/4.0', '119/4.0']",[ 8. 20. 16. 24.],"['P5', 'P-11', 'P4', 'P5']",890.0
73,Quo abiit dilectus tuus,"(-2, -3, 2, 2)",Fuga,"['Contratenor', 'Superior', 'Bassus', 'Tenor', 'Tenor', 'Superior']","['111/3.0', '112/3.0', '115/1.0', '117/1.0', '119/3.0', '120/1.0']",[ 8. 20. 16. 20.  4.],"['P5', 'P-11', 'P4', 'm-3', 'm7']",892.0
74,Quo abiit dilectus tuus,"(-3, 2, 2, -2)",Fuga,"['Contratenor', 'Bassus']","['111/4.0', '115/2.0']",[28.],['M-7'],894.0
75,Quo abiit dilectus tuus,"(2, 2, -2, -2)",Fuga,"['Contratenor', 'Superior', 'Superior', 'Tenor', 'Contratenor']","['112/1.0', '113/2.0', '114/3.0', '117/4.0', '119/3.0']",[10. 10. 26. 14.],"['M6', 'M-2', 'm-7', 'm3']",896.0
76,Quo abiit dilectus tuus,"(2, -2, -2, -2)",Fuga,"['Contratenor', 'Superior', 'Tenor']","['112/2.0', '115/4.0', '118/1.0']",[28. 18.],"['P4', 'm-6']",898.0
77,Quo abiit dilectus tuus,"(-3, 2, 2, 2)",Fuga,"['Superior', 'Tenor']","['112/4.0', '117/2.0']",[36.],['P-8'],902.0
78,Quo abiit dilectus tuus,"(2, 2, 2, -2)",Fuga,"['Superior', 'Tenor', 'Contratenor']","['113/1.0', '117/3.0', '119/2.0']",[36. 14.],"['P-8', 'M3']",904.0
79,Quo abiit dilectus tuus,"(-2, -2, 2, -2)",Fuga,"['Superior', 'Tenor']","['114/4.0', '118/3.5']",[31.],['P-8'],918.0
80,Quo abiit dilectus tuus,"(3, -2, -2, -2)",Fuga,"['Bassus', 'Superior']","['117/1.0', '121/1.0']",[32.],['P11'],936.0
81,Quo abiit dilectus tuus,"(-2, 2, 2, 2)",Fuga,"['Contratenor', 'Tenor', 'Tenor']","['119/1.0', '120/4.0', '131/1.0']",[14. 82.],"['m-6', 'P5']",952.0
82,Quo abiit dilectus tuus,"(1, 1, -5, 3)",Fuga,"['Bassus', 'Contratenor', 'Superior', 'Tenor', 'Bassus']","['121/2.0', '123/2.0', '124/3.0', '127/2.0', '129/3.0']",[16. 10. 22. 18.],"['P8', 'P5', 'P-8', 'P1']",970.0
